category,link
GB tech,http://feeds.webservice.techradar.com/rss/new
AU general,http://www.abc.net.au/news/feed/46182/rss.xml
AU general,http://feeds.feedburner.com/TheAustralianTheNationNews
AU general,http://feeds.smh.com.au/rssheadlines/national.xml
AU general,http://www.theguardian.com/au/rss
AU general,http://www.abc.net.au/local/rss/sydney/news.xml
AU general,http://www.channelnewsasia.com/starterkit/servlet/cna/rss/asiapacific.xml
AU general,http://feeds.brisbanetimes.com.au/rssheadlines/national.xml
AU general,http://feeds.brisbanetimes.com.au/rssheadlines/world.xml
AU general,http://feeds.theage.com.au/rssheadlines/national.xml
AU general,http://au.ibtimes.com/rss/articles/countries/13.rss
AU general,http://rss.nzherald.co.nz/rss/xml/nzhrsscid_000000002.xml
AU general,http://www.gmanetwork.com/news/rss/news
AU general,http://feeds.bbci.co.uk/news/world/asia/rss.xml
AU general,http://www.dailymail.co.uk/auhome/index.rss
AU general,http://feeds.feedburner.com/dailytelegraphnationalnewsndm?format=xml
AU general,http://feeds.news.com.au/public/rss/2.0/bcm_top_stories_257.xml
AU general,http://feeds.news.com.au/public/rss/2.0/anow_topstories_250.xml
AU general,http://feeds.news.com.au/heraldsun/rss/heraldsun_news_morenews_2794.xml
AU general,http://feeds.news.com.au/public/rss/2.0/
AU general,http://feeds.news.com.au/public/rss/2.0/wtn_top_3368.xml
AU sports,http://feeds.news.com.au/public/rss/2.0/fs_breaking_news_13.xml
AU sports,http://www.abc.net.au/news/feed/45924/rss.xml
AU sports,http://feeds.feedburner.com/TheAustralianSportsNews
AU sports,http://feeds.news.com.au/public/rss/2.0/news_sport_3168.xml
AU sports,http://feeds.smh.com.au/rssheadlines/sport.xml
AU sports,http://feeds.theage.com.au/rssheadlines/sport.xml
AU sports,http://feeds.news.com.au/rss/newslocal/dt_nlocal_sport_3214.xml
AU sports,http://feeds.news.com.au/heraldsun/rss/heraldsun_news_sport_2789.xml
AU sports,http://feeds.bbci.co.uk/sport/0/cricket/rss.xml?edition=uk
AU sports,http://sbs.feedsportal.com/c/34692/f/637526/index.rss
AU sports,http://wwos.ninemsn.com.au/rss/headlines/
AU tech,http://feeds.gizmodo.com.au/gizmodoaustraliaau
AU tech,http://www.smh.com.au/rssheadlines/technology-news/article/rss.xml
AU tech,http://feeds.news.com.au/public/rss/2.0/ausit_exec_topstories_385.xml
AU tech,http://feeds.news.com.au/heraldsun/rss/heraldsun_news_technology_2790.xml
AU tech,http://feeds.news.com.au/public/rss/2.0/news_tech_506.xml
AU tech,http://techau.com.au/feed/
AU tech,http://www.techrepublic.com/rssfeeds/blog/australian-technology/
